 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=274 ttl=62 time=0.731 ms
64 bytes from 192.168.42.65: icmp_seq=275 ttl=62 time=0.607 ms
64 bytes from 192.168.42.65: icmp_seq=276 ttl=62 time=0.327 ms
64 bytes from 192.168.42.65: icmp_seq=277 ttl=62 time=0.492 ms
64 bytes from 192.168.42.65: icmp_seq=278 ttl=62 time=0.326 ms
64 bytes from 192.168.42.65: icmp_seq=279 ttl=62 time=0.430 ms
64 bytes from 192.168.42.65: icmp_seq=280 ttl=62 time=0.583 ms
64 bytes from 192.168.42.65: icmp_seq=281 ttl=62 time=0.316 ms
64 bytes from 192.168.42.65: icmp_seq=282 ttl=62 time=0.706 ms
64 bytes from 192.168.42.65: icmp_seq=283 ttl=62 time=0.808 ms
64 bytes from 192.168.42.65: icmp_seq=284 ttl=62 time=0.781 ms
64 bytes from 192.168.42.65: icmp_seq=285 ttl=62 time=0.399 ms
64 bytes from 192.168.42.65: icmp_seq=286 ttl=62 time=0.641 ms
64 bytes from 192.168.42.65: icmp_seq=287 ttl=62 time=0.471 ms
64 bytes from 192.168.42.65: icmp_seq=288 ttl=62 time=0.547 ms
64 bytes from 192.168.42.65: icmp_seq=289 ttl=62 time=0.647 ms
64 bytes from 192.168.42.65: icmp_seq=290 ttl=62 time=0.355 ms
